q_mean,runoff_ratio,slope_fdc,baseflow_index,stream_elas,q5,q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q_freq,hfd_mean
1.699155,0.543437,1.528219,0.585226,1.845324,0.241106,6.373021,6.100000,8.714286,41.350000,20.170732,0.000000,207.250000
2.173062,0.602269,1.776280,0.554478,1.702782,0.204734,7.123049,3.900000,2.294118,65.150000,17.144737,0.000000,166.250000
1.820108,0.555859,1.871110,0.508441,1.377505,0.107149,6.854887,12.250000,7.205882,89.250000,19.402174,0.000000,184.900000
2.030242,0.576289,1.494019,0.445091,1.648693,0.111345,8.010503,18.900000,3.286957,94.800000,14.697674,0.000000,181.000000
2.182870,0.656868,1.415939,0.473465,1.510238,0.196458,8.095148,14.950000,2.577586,71.550000,12.776786,0.000000,184.800000
2.405105,0.644652,1.301062,0.459700,1.025555,0.305965,8.669019,14.100000,2.517857,58.900000,7.316770,0.000000,197.200000
2.731742,0.671663,1.319645,0.437050,1.357808,0.256851,10.095605,16.050000,1.888235,82.200000,9.963636,0.000000,183.450000
2.279897,0.652484,1.349312,0.438132,1.366587,0.185465,8.441584,16.250000,2.056962,83.600000,8.941176,0.000000,186.050000
1.823551,0.510727,1.533232,0.474677,1.280681,0.078169,6.866097,13.850000,2.429825,82.950000,13.825000,0.000000,178.050000
1.703194,0.486207,1.780107,0.501892,2.278789,0.065815,5.784236,7.850000,2.211268,96.000000,12.467532,0.000000,168.750000
1.755803,0.492803,1.499491,0.491189,1.526654,0.145171,6.616290,12.050000,3.050633,69.550000,12.419643,0.000000,180.700000
2.129575,0.546405,2.217869,0.559172,0.382857,0.059039,6.612366,3.500000,1.372549,89.500000,11.776316,0.000000,155.400000
1.958341,0.526494,1.940049,0.536306,1.166044,0.080101,6.025019,5.900000,1.475000,85.000000,9.883721,0.000000,156.350000
1.737335,0.454295,1.808908,0.585542,0.963140,0.216845,5.028286,4.550000,1.400000,58.100000,9.149606,0.000000,159.100000
2.077579,0.599173,1.408166,0.487598,1.107875,0.238225,7.096611,9.050000,2.154762,46.150000,6.888060,0.000000,187.550000
2.379463,0.597226,1.390544,0.541710,1.406601,0.481715,7.501904,8.250000,1.617647,17.300000,7.061224,0.000000,189.150000
1.697473,0.541537,1.507105,0.572170,2.162962,0.268167,5.343473,4.150000,1.693878,35.150000,6.632075,0.000000,183.400000
1.811683,0.548411,1.543569,0.607173,1.747615,0.246804,5.579909,2.150000,1.869565,37.250000,7.163462,0.000000,190.200000
1.723016,0.519815,1.466223,0.571788,1.506497,0.178647,5.359421,5.750000,2.129630,41.500000,9.325843,0.000000,181.150000
1.858755,0.543359,1.519482,0.562749,1.729026,0.237792,5.983057,5.800000,1.812500,42.000000,10.120482,0.000000,181.500000
1.835881,0.485229,1.868461,0.508575,1.153614,0.088591,6.348989,6.450000,2.632653,85.150000,14.191667,0.000000,168.150000
2.236963,0.570484,1.494461,0.511888,1.081513,0.212155,7.446653,8.250000,1.666667,65.200000,9.381295,0.000000,174.050000
2.171761,0.557636,1.595363,0.536997,1.433915,0.210379,7.203209,6.700000,1.696203,62.150000,9.207407,0.000000,174.250000
2.151425,0.563935,1.485966,0.491212,1.264259,0.150713,7.292503,9.050000,1.560345,73.800000,11.441860,0.000000,168.000000
2.002281,0.506829,1.579420,0.444723,0.666680,0.063524,6.851501,11.800000,1.616438,92.300000,11.395062,0.000000,158.650000
1.622354,0.440560,2.124782,0.517895,1.183609,0.041216,4.945907,6.250000,1.543210,102.100000,12.082840,0.001643,155.250000
2.068090,0.558243,1.566150,0.552807,1.580211,0.218133,6.631232,4.600000,1.508197,50.600000,10.019802,0.000000,165.900000
2.107518,0.544607,1.631092,0.454634,1.564264,0.091870,7.189819,11.350000,1.891667,95.650000,16.211864,0.000000,160.200000
1.534578,0.439352,1.901596,0.492301,1.338660,0.070036,5.071742,9.050000,1.967391,106.700000,19.577982,0.000000,169.550000
1.499653,0.428298,1.841468,0.459147,1.179227,0.033545,5.143623,11.100000,2.074766,107.200000,13.234568,0.000000,166.450000
2.719211,0.645673,1.560803,0.554875,1.309946,0.270286,8.005366,5.300000,1.558824,47.600000,10.818182,0.000000,165.750000
1.188186,0.374179,1.337293,0.724230,1.050374,0.339288,3.022748,0.950000,1.900000,3.900000,4.875000,0.000000,175.150000
1.959340,0.511237,1.790485,0.530017,1.212596,0.132684,5.999619,5.500000,2.075472,70.000000,17.283951,0.000000,162.500000
2.239578,0.562712,1.746363,0.530299,1.161063,0.163232,6.711475,5.450000,1.703125,59.550000,13.087912,0.000000,159.650000
1.809878,0.479676,1.769991,0.509840,1.262670,0.102857,5.657152,5.600000,1.931034,76.350000,11.568182,0.000000,160.850000
1.840688,0.496978,1.806986,0.522810,1.479675,0.105299,5.748747,5.150000,1.907407,78.650000,18.080460,0.000000,162.200000
2.816440,0.634762,1.356883,0.493758,0.738850,0.244658,9.080074,8.300000,1.418803,51.650000,9.932692,0.000000,163.850000
2.967315,0.687252,1.318360,0.540275,1.246484,0.383031,8.710410,6.150000,1.413793,39.300000,11.391304,0.000000,165.300000
2.027364,0.550427,1.673747,0.584467,1.160537,0.119977,5.854889,3.250000,2.321429,56.750000,15.985915,0.000000,156.100000
1.797091,0.506238,1.648028,0.589172,0.953120,0.160460,5.219322,3.600000,1.636364,56.400000,15.887324,0.000000,159.850000
2.069011,0.551244,1.587846,0.562587,1.147147,0.195491,6.130053,4.450000,1.854167,59.850000,14.962500,0.000000,156.100000
1.759909,0.502371,1.581601,0.477158,1.548397,0.135441,5.903912,10.000000,2.000000,73.350000,9.168750,0.000000,153.500000
0.853262,0.241046,0.969017,0.837327,0.225542,0.395636,1.637114,0.200000,2.000000,0.000000,0.000000,0.000000,181.150000
